recipe_id,name,name_ar,category,cuisine,difficulty,dietary_goal,meal_occasion,prep_time_min,cook_time_min,minutes,n_steps,n_ingredients,servings,calories,protein_g,carbohydrates_g,fat_g,saturated_fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_c_mg,calcium_mg,iron_mg,is_vegan,is_vegetarian,allergens,health_score,protein_density,glycemic_index_level,calorie_category,macro_balance_label,bmi_suitability,budget_level,avg_rating,review_count
100363,Chicken Vegetable Soup,شوربة الدجاج بالخضار,Soup,International,Easy,Immunity / Recovery,Lunch,16.0,39.0,55,11,11,6,288,28.5,20.7,7.1,3.1,4.5,4.1,6000.0,68.0,30.2,59.0,2.8,0,0,None,57.0,9.9,Medium,Low,High Protein,Normal,Medium,4.25,
100364,Tomato Basil Soup,شوربة الطماطم والريحان,Soup,Italian,Easy,Light / Vegan,Lunch,12.0,19.0,31,9,9,4,166,4.6,25.3,7.1,2.1,4.1,12.7,501.0,0.0,26.3,57.0,1.8,0,1,Dairy,49.2,2.77,Medium,Very Low,High Carb,Normal,Medium,4.33,6.0
100365,Minestrone Soup,شوربة مينستروني,Soup,Italian,Easy,High Fiber / Balanced,Lunch,14.0,38.0,52,9,10,6,327,12.8,43.8,7.0,2.0,10.4,6.5,561.0,5.0,27.5,84.0,3.1,1,1,Gluten,60.2,3.91,Medium,Low,High Carb,Normal,Medium,5.0,1.0
100366,Beef Stir Fry,لحم مقلي,Main Course,Asian,Easy,Muscle Gain,Dinner,18.0,14.0,32,7,10,4,370,35.4,28.6,17.3,6.0,3.1,4.1,667.0,86.0,12.7,41.0,4.1,0,0,Nuts|Soy,47.0,9.57,Medium,Low,High Protein,Underweight,Medium,4.0,
100367,Lean Beef Rice Bowl,بول أرز باللحمة,Main Course,Asian Fusion,Easy,Muscle Gain / Bulking,Dinner,11.0,15.0,26,11,10,1,532,37.9,61.1,12.1,3.3,4.1,5.7,801.0,91.0,11.1,52.0,4.4,0,0,Nuts|Soy,49.8,,High,Moderate,Mixed,Underweight,Medium,4.0,3.0
100368,Turkey Meatballs,كرات ديك رومي,Main Course,Italian,Easy,High Protein,Dinner,17.0,20.0,37,9,8,6,341,29.9,16.6,13.2,3.3,1.9,3.3,510.0,84.0,7.0,,2.7,0,0,Eggs|Gluten,49.2,8.77,Low,Low,High Protein,Normal,Low,4.25,4.0
100369,Whole Wheat Pasta Turkey,مكرونة قمح بالديك الرومي,Main Course,Italian,Easy,Balanced,Dinner,8.0,29.0,37,10,9,4,457,38.0,51.4,9.7,4.0,7.2,6.6,672.0,73.0,19.3,79.0,4.4,0,0,Gluten,57.5,8.32,High,Moderate,Mixed,Normal,Medium,4.33,3.0
100370,Stuffed Bell Peppers,فلفل محشي,Main Course,Mediterranean,Medium,Balanced,Dinner,19.0,41.0,60,11,9,2,431,23.7,44.3,12.5,4.7,6.0,6.6,495.0,68.0,84.5,67.0,2.6,0,0,Dairy,56.4,5.5,High,Moderate,Mixed,Normal,Medium,5.0,
100371,Chicken Shawarma Bowl,بول شاورما الدجاج,Main Course,Middle Eastern,Easy,High Protein,Dinner,24.0,19.0,43,9,9,4,439,40.9,43.7,15.0,5.8,5.4,3.7,553.0,82.0,15.3,65.0,3.1,0,0,None,53.1,9.32,High,Moderate,High Protein,Normal,Medium,4.33,3.0
100372,Salmon Teriyaki,سالمون تيرياكي,Main Course,Japanese,Easy,Omega 3 / Healthy,Dinner,10.0,15.0,25,8,9,2,422,38.7,22.0,16.1,5.9,1.0,13.1,646.0,97.0,,34.0,1.6,0,0,Nuts|Soy|Seafood,36.3,9.17,Medium,Moderate,High Protein,Normal,Medium,4.5,4.0
100373,Chicken Tikka Masala,دجاج تيكا ماسالا,Main Course,Indian,Medium,Balanced,Dinner,,23.0,1440,13,11,2,462,30.7,27.6,18.0,6.6,3.3,6.8,538.0,77.0,14.0,,3.8,0,0,Dairy,45.3,6.65,Medium,Moderate,High Protein,Normal,Medium,6.5,3.0
101928,Zucchini Noodles with Pesto,نودلز الكوسا بالبيستو,Main Course,Italian,Easy,Low Carb / Keto,Lunch,8.0,4.0,12,6,9,2,267,9.6,14.8,22.9,7.7,4.3,5.4,382.0,13.0,,117.0,1.8,1,1,Nuts,46.3,3.6,Low,Low,Mixed,Overweight,Medium,4.25,4.0
100375,Energy Balls,كرات الطاقة,Snack,International,Easy,Healthy Snack,Snack,13.0,0.0,13,5,7,1,119,4.0,15.6,5.0,1.4,2.1,8.1,39.0,0.0,0.9,27.0,1.1,0,1,Dairy|Gluten|Nuts,50.3,3.36,Low,Very Low,High Carb,Normal,Low,4.2,15.0
100376,Chocolate Protein Balls,كرات بروتين بالشوكولاتة,Snack,International,Easy,Post Workout,Snack,18.0,0.0,18,5,7,2,101,5.0,10.9,3.7,1.3,1.5,7.0,35.0,0.0,2.8,23.0,0.8,0,1,Dairy|Gluten|Nuts,50.6,4.95,Low,Very Low,Mixed,Normal,Low,4.33,
100377,Apple Peanut Butter,تفاح مع زبدة فول سوداني,Snack,International,Very Easy,Balanced Snack,Snack,2.0,0.0,2,1,3,2,196,6.1,25.5,10.8,3.7,,16.0,131.0,0.0,8.2,22.0,0.5,0,1,Dairy|Nuts,47.2,3.11,Medium,Very Low,High Carb,Normal,Low,4.0,
100378,Trail Mix,مكسرات وفواكه مجففة,Snack,International,Very Easy,Energy Boost,Snack,4.0,0.0,4,1,6,2,410,10.0,37.7,23.8,9.0,4.9,22.9,76.0,0.0,,67.0,2.7,1,1,Nuts,39.0,2.44,Medium,Moderate,Mixed,Normal,Low,,3.0
100379,Strawberry Protein Smoothie,سموذي الفراولة والبروتين,Beverage,International,Very Easy,Muscle Gain / Post Workout,Anytime,2.0,0.0,2,2,100,2,308,26.4,40.3,4.2,1.9,,18.7,132.0,10.0,68.6,209.0,1.2,0,1,Dairy,56.7,,High,Low,Mixed,Normal,Low,3.67,3.0
100380,Green Detox Smoothie,سموذي أخضر,Beverage,International,Very Easy,Detox / Weight Loss,Anytime,5.0,0.0,5,4,7,2,195,4.7,39.6,3.2,1.4,5.9,22.5,103.0,0.0,121.3,77.0,2.2,0,1,None,56.7,2.41,Medium,Very Low,High Carb,Overweight,Low,4.0,4.0
100381,Banana Peanut Butter Smoothie,سموذي الموز وزبدة الفول,Beverage,International,Very Easy,Pre Workout / Energy,Anytime,4.0,0.0,0,4,7,1,356,13.1,54.8,11.2,4.8,5.9,30.0,156.0,9.0,13.9,185.0,1.7,0,1,Dairy|Gluten|Nuts,49.0,3.68,High,Low,High Carb,Normal,Low,-1.0,3.0
100382,Mango Turmeric Smoothie,سموذي المانجو والكركم,Beverage,International,Very Easy,Anti-Inflammatory,Anytime,4.0,0.0,4,4,7,1,219,8.4,44.8,4.0,1.5,4.4,30.5,106.0,5.0,69.9,171.0,0.8,0,1,Dairy|Nuts,54.5,3.84,High,Low,High Carb,Normal,Low,4.0,5.0
100383,Berry Antioxidant Smoothie,سموذي التوت المضاد للأكسدة,Beverage,International,Very Easy,Immunity Boost,Anytime,,0.0,2,2,6,6,203,8.1,44.4,2.9,0.7,,23.3,94.0,5.0,38.8,169.0,1.0,0,1,Dairy|Nuts,57.7,3.99,High,Low,High Carb,Normal,Low,4.43,7.0
100384,Banana Nice Cream,آيس كريم الموز,Dessert,International,Very Easy,Healthy Dessert / Vegan,Dessert,4.0,0.0,4,2,2,1,137,2.0,28.9,0.5,0.1,2.5,18.7,2.0,0.0,10.4,,0.3,1,1,None,47.5,1.46,Medium,Very Low,High Carb,Normal,Low,4.2,5.0
100385,Chia Pudding,بودنج الشيا,Dessert/Snack,International,Very Easy,High Fiber / Omega 3,Snack,12.0,0.0,12,5,5,2,308,10.5,37.4,12.9,4.1,12.4,16.0,153.0,5.0,3.7,228.0,2.8,0,1,Dairy|Nuts,55.1,3.41,Medium,Low,High Carb,Normal,Low,7.0,4.0
100386,Baked Cinnamon Apples,تفاح مخبوز بالقرفة,Dessert,International,Very Easy,Healthy Dessert,Dessert,6.0,29.0,35,4,6,4,188,0.9,41.8,2.2,1.0,5.3,30.9,9.0,0.0,9.0,,0.4,0,1,Dairy|Gluten,50.5,0.48,High,Very Low,High Carb,Normal,Low,3.0,3.0
100387,Falafel Wrap,سندويتش فلافل,Main Course,Middle Eastern,Medium,Vegan / Protein,Dinner,25.0,15.0,40,9,11,2,527,17.5,58.0,16.9,6.3,12.9,3.2,672.0,0.0,16.3,109.0,6.6,1,1,Gluten,54.9,3.32,High,Moderate,High Carb,Normal,Medium,3.62,8.0
100388,Tabbouleh Salad,سلطة التبولة,Salad,Middle Eastern,Easy,Light / Vegan,Lunch,12.0,0.0,12,5,9,2,166,5.0,27.2,6.7,2.6,7.0,4.3,347.0,0.0,,63.0,3.1,1,1,Gluten,62.2,3.01,Medium,Very Low,High Carb,Normal,Medium,4.0,2.0
100389,Shakshuka,شكشوكة,Breakfast,Middle Eastern,Easy,Balanced,Breakfast,6.0,16.0,22,8,11,4,243,14.8,16.4,15.2,5.8,4.1,7.1,584.0,,24.0,,,0,1,Eggs,48.2,6.09,Low,Low,Balanced Macro,Normal,Medium,4.5,4.0
100390,Meal Prep Chicken Rice,دجاج وأرز للميل بريب,Main Course,International,Easy,Muscle Gain / Meal Prep,Dinner,18.0,21.0,39,10,9,2,441,46.2,45.8,10.4,4.7,3.0,1.9,517.0,87.0,7.5,45.0,2.2,0,0,None,50.4,10.48,High,Moderate,High Protein,Normal,Medium,4.0,6.0
100391,Overnight Oats 5 Ways,شوفان بالليل 5 وصفات,Breakfast,International,Very Easy,Meal Prep / Healthy,Breakfast,8.0,,8,5,6,2,400,13.8,47.6,8.5,,6.1,16.6,166.0,7.0,9.9,273.0,2.7,0,1,Dairy|Gluten,53.8,3.45,High,Moderate,High Carb,Normal,Low,3.67,3.0
100392,Grilled Chicken Breast,صدر دجاج مشوي,Main Course,Mediterranean,Easy,High Protein / Weight Loss,Dinner,7.0,14.0,21,6,7,1,351,40.1,4.1,14.7,4.9,0.5,1.2,368.0,83.0,13.5,22.0,1.9,0,0,None,47.6,11.42,Low,Low,High Protein,Overweight,Low,4.4,5.0
100393,Egg White Omelette,عجة بياض البيض,Breakfast,International,Very Easy,High Protein / Low Cal,Breakfast,5.0,8.0,13,7,7,6,190,22.3,3.8,5.9,2.4,,2.2,267.0,11.0,8.4,57.0,1.7,0,1,Eggs,52.4,11.74,Low,Very Low,High Protein,Normal,Low,4.2,5.0
100394,Tuna Salad Bowl,بول سلطة التونة,Salad,Mediterranean,Very Easy,Weight Loss,Lunch,12.0,0.0,12,5,7,2,191,28.5,7.4,6.3,1.7,3.3,4.7,573.0,43.0,24.4,,2.2,0,0,Seafood,57.3,14.92,Low,Very Low,High Protein,Overweight,Low,4.5,2.0
100395,Protein Pancakes,بانكيك البروتين,Breakfast,American,Very Easy,Muscle Gain,Breakfast,,11.0,16,5,7,1,328,30.1,28.8,7.8,2.8,2.6,6.1,250.0,199.0,1.7,166.0,2.2,0,1,Dairy|Eggs|Gluten,53.0,9.18,Medium,Low,High Protein,Underweight,Low,4.0,8.0
100396,Greek Yogurt Parfait,بارفيه الزبادي اليوناني,Snack,International,Very Easy,Healthy Snack,Snack,6.0,0.0,6,4,6,1,303,20.7,35.7,7.6,2.1,,18.7,100.0,15.0,14.0,282.0,1.4,0,1,Dairy,52.6,6.83,Medium,Low,Mixed,Normal,Low,5.0,1.0
100397,Chicken Vegetable Stir Fry,دجاج مقلي بالخضار,Main Course,Asian,Easy,Balanced,Dinner,17.0,18.0,35,10,100,2,380,37.9,28.8,12.5,,4.1,6.0,676.0,82.0,37.3,52.0,2.2,0,0,Nuts|Soy,52.9,9.97,Medium,Low,High Protein,Normal,Medium,3.33,3.0
100398,Baked Salmon with Vegetables,سالمون مشوي بالخضار,Main Course,Western,Easy,Heart Health,Dinner,9.0,16.0,25,8,9,1,437,43.3,13.6,24.1,6.7,3.5,4.6,348.0,86.0,36.2,,2.7,0,0,Seafood,51.5,9.91,Low,Moderate,High Protein,Normal,Medium,4.33,3.0
100399,Turkey Lettuce Wraps,لفائف الخس بالديك الرومي,Light Meal,Asian,Easy,Keto / Low Carb,Dinner,12.0,11.0,23,5,8,4,228,24.5,7.9,10.7,4.2,1.9,2.6,494.0,78.0,,32.0,2.0,0,0,Dairy|Nuts|Soy,49.2,10.75,Low,Low,High Protein,Overweight,Low,4.0,4.0
100400,Boiled Eggs with Avocado,بيض مسلوق مع أفوكادو,Breakfast,International,Very Easy,Keto,Breakfast,2.0,9.0,11,5,6,6,330,17.5,8.5,21.8,5.8,6.8,0.7,313.0,411.0,11.9,56.0,1.8,0,1,Eggs,56.7,5.3,Low,Low,Mixed,Overweight,Low,4.33,6.0
100401,Shrimp Stir Fry,روبيان مقلي,Main Course,Asian,Easy,High Protein / Low Cal,Lunch,10.0,8.0,18,9,9,2,315,32.7,16.8,8.8,3.3,3.5,5.5,587.0,,20.6,94.0,3.8,0,0,Nuts|Soy|Seafood,53.5,10.38,Low,Low,High Protein,Normal,Medium,4.0,6.0
100402,Quinoa Buddha Bowl,بودا بول الكينوا,Main Course,International,Medium,Vegan / Balanced,Dinner,19.0,18.0,37,9,9,4,385,16.9,59.0,13.7,4.8,7.8,8.1,347.0,0.0,55.4,,3.9,1,1,None,60.5,4.39,High,Low,High Carb,Normal,Medium,4.33,
100403,Lentil Soup,شوربة العدس,Soup,Middle Eastern,Easy,High Fiber / Budget,Lunch,8.0,33.0,41,11,11,1,274,17.9,45.2,4.2,1.1,11.1,4.8,524.0,0.0,15.9,,6.2,1,1,None,64.5,6.53,Medium,Low,High Carb,Normal,Medium,,7.0
100404,Veggie Omelette,عجة الخضار,Breakfast,International,Very Easy,Balanced,Breakfast,6.0,6.0,12,6,8,1,230,18.2,5.8,16.6,6.9,1.6,3.3,411.0,348.0,18.8,103.0,2.5,0,1,Eggs,45.2,7.91,Low,Low,High Protein,Normal,Low,2.5,4.0
100405,Hummus with Vegetables,حمص مع الخضار,Snack,Middle Eastern,Very Easy,Healthy Snack,Snack,10.0,0.0,10,7,9,6,208,9.0,23.1,9.3,2.7,5.8,2.7,333.0,,21.9,97.0,3.4,1,1,None,59.9,4.33,Medium,Low,Mixed,Normal,Medium,4.0,2.0
100406,Spinach Lentil Dal,عدس بالسبانخ,Main Course,Indian,Easy,High Iron / Vegan,Dinner,11.0,23.0,34,10,10,1,354,16.3,46.4,6.4,2.3,12.9,4.4,420.0,0.0,32.3,113.0,7.2,0,1,Dairy|Nuts,65.4,4.6,Medium,Low,High Carb,Normal,Medium,4.0,1.0
100407,Caprese Salad,سلطة كابريزي,Salad,Italian,Very Easy,Light / Healthy,Lunch,6.0,0.0,6,2,7,1,248,11.2,6.5,15.5,6.6,0.5,4.2,,36.0,16.9,255.0,0.8,1,1,None,42.0,4.52,Low,Low,Mixed,Normal,Low,4.0,4.0
100408,Overnight Oats,شوفان بالليل,Breakfast,International,Very Easy,Sustained Energy,Breakfast,6.0,0.0,6,5,8,4,343,14.5,54.3,9.6,4.1,7.8,14.6,136.0,4.0,6.6,251.0,2.7,0,1,Dairy|Gluten|Nuts,56.8,4.23,High,Low,High Carb,Normal,Low,4.33,3.0
100409,Avocado Toast with Egg,توست الأفوكادو مع بيض,Breakfast,International,Very Easy,Balanced,Breakfast,4.0,6.0,10,7,8,2,368,17.6,27.8,21.6,7.4,8.8,1.9,471.0,190.0,11.1,55.0,3.2,0,1,Eggs|Gluten,53.9,4.78,Medium,Low,Balanced Macro,Normal,Low,4.6,5.0
100410,Black Bean Tacos,تاكو الفول الأسود,Main Course,Mexican,Easy,Vegan / Budget,Dinner,12.0,10.0,22,5,10,2,324,14.9,51.1,9.8,3.0,15.7,4.0,663.0,0.0,17.7,127.0,5.3,1,1,None,59.9,4.6,High,Low,High Carb,Normal,Medium,1.0,1.0
100411,Mushroom Risotto,ريزوتو الفطر,Main Course,Italian,Medium,Comfort Food,Dinner,8.0,39.0,47,12,100,6,468,13.1,69.6,13.8,5.9,2.9,4.3,615.0,20.0,4.3,70.0,3.2,0,1,Dairy,42.8,2.8,High,Moderate,High Carb,Normal,Medium,4.0,5.0
100412,Chicken Vegetable Soup,شوربة الدجاج بالخضار,Soup,International,Easy,Immunity / Recovery,Lunch,14.0,28.0,42,9,11,2,253,29.5,20.3,6.8,2.7,4.4,5.0,672.0,61.0,32.3,59.0,2.4,0,0,None,56.4,11.66,Medium,Low,High Protein,Normal,Medium,3.86,7.0
100413,Tomato Basil Soup,شوربة الطماطم والريحان,Soup,Italian,Easy,Light / Vegan,Lunch,7.0,26.0,33,9,9,2,174,4.5,25.8,7.6,2.1,,15.4,478.0,0.0,34.1,54.0,1.7,0,1,Dairy,47.9,,Medium,Very Low,High Carb,Normal,Medium,3.5,2.0
100414,Minestrone Soup,شوربة مينستروني,Soup,Italian,Easy,High Fiber / Balanced,Lunch,12.0,34.0,46,11,10,4,257,12.6,39.2,7.2,,7.2,5.5,570.0,6.0,28.1,83.0,3.7,1,1,Gluten,59.2,4.9,Medium,Low,High Carb,Normal,Medium,,
100415,Beef Stir Fry,لحم مقلي,Main Course,Asian,Easy,Muscle Gain,Dinner,19.0,12.0,31,7,10,2,444,35.6,26.5,16.4,4.4,3.3,4.4,721.0,99.0,16.1,39.0,4.6,0,0,Nuts|Soy,48.9,8.02,Medium,Moderate,High Protein,Underweight,Medium,,3.0
100416,Lean Beef Rice Bowl,بول أرز باللحمة,Main Course,Asian Fusion,Easy,Muscle Gain / Bulking,Dinner,13.0,19.0,32,9,10,6,523,32.7,58.1,12.8,4.2,3.3,5.3,747.0,77.0,,49.0,3.8,0,0,Nuts|Soy,46.6,6.25,High,Moderate,Mixed,Underweight,Medium,4.33,3.0
100417,Turkey Meatballs,كرات ديك رومي,Main Course,Italian,Easy,High Protein,Dinner,17.0,20.0,37,8,8,2,311,33.0,17.2,14.3,6.4,1.6,3.5,467.0,98.0,,64.0,2.6,0,0,Eggs|Gluten,45.4,10.61,Medium,Low,High Protein,Normal,Low,3.33,6.0
100418,Whole Wheat Pasta Turkey,مكرونة قمح بالديك الرومي,Main Course,Italian,Easy,Balanced,Dinner,11.0,26.0,37,10,9,2,456,39.0,60.3,9.6,2.6,7.4,6.9,608.0,80.0,16.1,69.0,4.3,0,0,Gluten,60.1,,High,Moderate,Mixed,Normal,Medium,3.86,7.0
100419,Stuffed Bell Peppers,فلفل محشي,Main Course,Mediterranean,Medium,Balanced,Dinner,16.0,25.0,41,10,9,2,407,25.2,43.0,10.9,3.6,5.7,7.3,466.0,61.0,89.2,52.0,3.3,0,0,Dairy,58.0,6.19,High,Moderate,Mixed,Normal,Medium,4.0,5.0
100420,Chicken Shawarma Bowl,بول شاورما الدجاج,Main Course,Middle Eastern,Easy,High Protein,Dinner,26.0,18.0,1440,9,9,1,484,35.9,44.0,13.6,6.0,4.4,3.3,653.0,81.0,15.8,52.0,3.0,0,0,None,48.9,7.42,High,Moderate,Balanced Macro,Normal,Medium,5.0,4.0
100421,Salmon Teriyaki,سالمون تيرياكي,Main Course,Japanese,Easy,Omega 3 / Healthy,Lunch,8.0,11.0,19,7,9,2,406,33.4,22.6,14.7,5.0,,13.6,655.0,83.0,4.4,37.0,1.4,0,0,Nuts|Soy|Seafood,36.8,8.23,Medium,Moderate,High Protein,Normal,Medium,4.5,4.0
100422,Chicken Tikka Masala,دجاج تيكا ماسالا,Main Course,Indian,Medium,Balanced,Dinner,20.0,34.0,54,11,11,2,391,33.8,25.6,19.7,7.0,2.9,5.2,570.0,88.0,12.5,90.0,3.3,0,0,Dairy,45.1,8.64,Medium,Low,High Protein,Normal,Medium,4.5,2.0
100423,Zucchini Noodles with Pesto,نودلز الكوسا بالبيستو,Main Course,Italian,Easy,Low Carb / Keto,Lunch,10.0,4.0,14,4,9,4,260,9.9,13.9,21.5,7.1,4.2,4.1,339.0,16.0,19.0,117.0,1.9,1,1,Nuts,48.2,3.81,Low,Low,Mixed,Overweight,Medium,4.17,6.0
100424,Energy Balls,كرات الطاقة,Snack,International,Easy,Healthy Snack,Snack,19.0,0.0,19,4,7,2,2500,3.8,17.6,4.6,2.0,2.3,9.6,35.0,0.0,1.1,32.0,1.0,0,1,Dairy|Gluten|Nuts,49.0,3.28,Medium,Very Low,High Carb,Normal,Low,3.67,3.0
100425,Chocolate Protein Balls,كرات بروتين بالشوكولاتة,Snack,International,Easy,Post Workout,Snack,13.0,0.0,13,4,7,4,88,4.5,12.8,4.1,1.6,1.6,6.5,42.0,0.0,3.4,17.0,0.9,0,1,Dairy|Gluten|Nuts,50.6,5.11,Low,Very Low,Mixed,Normal,Low,,4.0
100426,Apple Peanut Butter,تفاح مع زبدة فول سوداني,Snack,International,Very Easy,Balanced Snack,Snack,2.0,0.0,2,4,3,4,213,6.1,30.2,10.0,2.7,3.5,17.4,132.0,0.0,8.8,,0.6,0,1,Dairy|Nuts,45.8,2.86,Medium,Low,High Carb,Normal,Low,4.0,2.0
100427,Trail Mix,مكسرات وفواكه مجففة,Snack,International,Very Easy,Energy Boost,Snack,3.0,0.0,3,3,6,2,416,9.5,35.8,25.2,7.3,5.4,16.1,72.0,0.0,1.7,58.0,2.7,1,1,Nuts,44.3,2.28,Medium,Moderate,Mixed,Normal,Low,4.0,6.0
100428,Strawberry Protein Smoothie,سموذي الفراولة والبروتين,Beverage,International,Very Easy,Muscle Gain / Post Workout,Anytime,2.0,0.0,2,1,6,2,290,24.0,38.5,3.8,1.2,3.5,24.2,142.0,9.0,78.0,193.0,,0,1,Dairy,55.4,8.28,High,Low,Mixed,Normal,Low,4.0,3.0
100429,Green Detox Smoothie,سموذي أخضر,Beverage,International,Very Easy,Detox / Weight Loss,Anytime,6.0,,6,4,7,4,179,5.2,35.0,2.7,0.9,6.6,16.1,102.0,0.0,132.5,90.0,2.5,0,1,None,61.4,2.91,Medium,Very Low,High Carb,Overweight,Low,,3.0
100430,Banana Peanut Butter Smoothie,سموذي الموز وزبدة الفول,Beverage,International,Very Easy,Pre Workout / Energy,Anytime,3.0,0.0,3,1,7,2,361,14.5,50.4,11.6,3.2,4.5,26.4,175.0,10.0,,226.0,1.3,0,1,Dairy|Gluten|Nuts,48.7,4.02,High,Low,High Carb,Normal,Low,3.33,3.0
100431,Mango Turmeric Smoothie,سموذي المانجو والكركم,Beverage,International,Very Easy,Anti-Inflammatory,Anytime,5.0,0.0,5,3,7,1,272,8.4,41.8,4.0,1.4,4.3,36.7,121.0,6.0,65.7,211.0,0.7,0,1,Dairy|Nuts,54.3,3.09,High,Low,High Carb,Normal,Low,4.33,3.0
100432,Berry Antioxidant Smoothie,سموذي التوت المضاد للأكسدة,Beverage,International,Very Easy,Immunity Boost,Anytime,3.0,0.0,3,1,6,2,210,8.7,45.7,3.0,1.3,6.4,30.2,79.0,5.0,36.8,158.0,1.0,0,1,Dairy|Nuts,57.9,4.14,High,Low,High Carb,Normal,Low,,4.0
100433,Banana Nice Cream,آيس كريم الموز,Dessert,International,Very Easy,Healthy Dessert / Vegan,Dessert,6.0,0.0,6,3,2,2,134,2.2,27.9,0.5,0.1,2.7,13.9,2.0,0.0,10.8,6.0,0.3,1,1,None,50.4,1.64,Medium,Very Low,High Carb,Normal,Low,4.33,6.0
100434,Chia Pudding,بودنج الشيا,Dessert/Snack,International,Very Easy,High Fiber / Omega 3,Snack,,0.0,13,5,5,2,316,10.3,33.9,12.7,3.8,13.1,14.2,143.0,5.0,4.7,245.0,2.3,0,1,Dairy|Nuts,56.5,3.26,Medium,Low,Mixed,Normal,Low,4.67,3.0
100435,Baked Cinnamon Apples,تفاح مخبوز بالقرفة,Dessert,International,Very Easy,Healthy Dessert,Dessert,6.0,32.0,38,4,6,2,158,0.9,44.0,2.2,0.9,5.5,27.1,8.0,0.0,7.0,19.0,0.5,0,1,Dairy|Gluten,51.0,0.57,High,Very Low,High Carb,Normal,Low,4.0,4.0
100436,Falafel Wrap,سندويتش فلافل,Main Course,Middle Eastern,Medium,Vegan / Protein,Dinner,25.0,18.0,43,12,11,4,483,18.4,58.6,15.7,4.0,12.2,3.9,608.0,0.0,16.5,133.0,6.6,1,1,Gluten,59.2,3.81,High,Moderate,High Carb,Normal,Medium,4.5,2.0
100437,Tabbouleh Salad,سلطة التبولة,Salad,Middle Eastern,Easy,Light / Vegan,Lunch,15.0,0.0,15,5,9,2,170,5.5,25.9,7.7,2.0,6.5,4.0,417.0,,43.7,66.0,3.2,1,1,Gluten,62.1,3.24,Medium,Very Low,High Carb,Normal,Medium,5.0,1.0
100438,Shakshuka,شكشوكة,Breakfast,Middle Eastern,Easy,Balanced,Breakfast,5.0,19.0,24,9,11,4,310,16.7,17.3,17.0,7.2,4.7,6.9,,375.0,27.4,85.0,3.2,0,1,Eggs,48.1,5.39,Low,Low,Balanced Macro,Normal,Medium,4.17,6.0
100439,Meal Prep Chicken Rice,دجاج وأرز للميل بريب,Main Course,International,Easy,Muscle Gain / Meal Prep,Dinner,16.0,26.0,42,10,9,1,396,40.5,50.8,10.7,3.5,2.5,2.3,452.0,82.0,9.0,36.0,2.1,0,0,None,51.5,10.23,High,Low,Balanced Macro,Normal,Medium,4.12,8.0
100440,Overnight Oats 5 Ways,شوفان بالليل 5 وصفات,Breakfast,International,Very Easy,Meal Prep / Healthy,Breakfast,8.0,0.0,8,3,6,1,369,15.4,48.3,9.8,2.9,6.8,20.5,180.0,8.0,9.7,215.0,2.7,0,1,Dairy|Gluten,54.0,4.17,High,Low,High Carb,Normal,Low,4.67,3.0
100441,Grilled Chicken Breast,صدر دجاج مشوي,Main Course,Mediterranean,Easy,High Protein / Weight Loss,Dinner,12.0,22.0,34,9,7,2,286,37.9,4.2,15.3,5.3,,1.1,444.0,99.0,11.4,,1.6,0,0,None,46.8,,Low,Low,High Protein,Overweight,Low,3.75,8.0
100442,Egg White Omelette,عجة بياض البيض,Breakfast,International,Very Easy,High Protein / Low Cal,Breakfast,5.0,8.0,13,5,7,1,154,22.3,4.1,5.7,2.4,1.1,2.2,262.0,9.0,9.3,65.0,1.4,0,1,Eggs,54.4,14.48,Low,Very Low,High Protein,Normal,Low,4.75,
100443,Tuna Salad Bowl,بول سلطة التونة,Salad,Mediterranean,Very Easy,Weight Loss,Lunch,12.0,0.0,12,3,7,2,184,29.8,8.5,7.0,1.8,2.5,5.1,526.0,42.0,20.1,39.0,1.9,0,0,Seafood,55.9,16.2,Low,Very Low,High Protein,Overweight,Low,,5.0
100444,Protein Pancakes,بانكيك البروتين,Breakfast,American,Very Easy,Muscle Gain,Breakfast,6.0,8.0,1440,7,7,4,335,27.5,26.6,8.4,2.9,2.1,5.1,263.0,213.0,1.8,,1.8,0,1,Dairy|Eggs|Gluten,51.7,8.21,Medium,Low,High Protein,Underweight,Low,2.0,2.0
101928,Greek Yogurt Parfait,بارفيه الزبادي اليوناني,Snack,International,Very Easy,Healthy Snack,Snack,4.0,0.0,4,3,0,2,312,24.1,36.9,7.1,,3.1,16.8,104.0,14.0,14.2,267.0,1.6,0,1,Dairy,52.7,7.72,Medium,Low,Mixed,Normal,Low,2.75,4.0
100446,Chicken Vegetable Stir Fry,دجاج مقلي بالخضار,Main Course,Asian,Easy,Balanced,Dinner,12.0,12.0,24,8,9,4,353,36.0,26.1,11.9,4.9,4.9,7.3,770.0,87.0,47.7,,2.2,0,0,Nuts|Soy,52.7,10.2,Medium,Low,High Protein,Normal,Medium,3.25,4.0
100447,Baked Salmon with Vegetables,سالمون مشوي بالخضار,Main Course,Western,Easy,Heart Health,Dinner,10.0,15.0,25,9,9,2,482,39.5,12.7,22.5,10.0,3.3,4.2,,85.0,44.8,47.0,2.2,0,0,Seafood,46.3,8.2,Low,Moderate,High Protein,Normal,Medium,4.5,4.0
